Plan_ID,Issuer_ID,State,Issuer_Name,Plan_Type,Metal_Level,Exchange_Type,Individual/SHOP,ML_Anomaly_Score,ML_Anomaly_Severity,Evidence_Count,Evidence_Severity,Evidence_Types,Evidence_Features,Evidence_Details,Evidence_Summary
33602TX0460667,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.016578999103448,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""10 important data fields are missing or unavailable."", ""value"": 10.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 35.7%."", ""value"": 0.3571428571428571}]",10 important data fields are missing or unavailable. Important missingness rate is 35.7%.
33602TX0460671,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.02466922234177,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""12 important data fields are missing or unavailable."", ""value"": 12.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 42.9%."", ""value"": 0.4285714285714285}]",12 important data fields are missing or unavailable. Important missingness rate is 42.9%.
33602TX0460673,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0097420723943887,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}]",9 important data fields are missing or unavailable. Important missingness rate is 32.1%.
33602TX0460674,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0280950534452456,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""12 important data fields are missing or unavailable."", ""value"": 12.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 42.9%."", ""value"": 0.4285714285714285}]",12 important data fields are missing or unavailable. Important missingness rate is 42.9%.
33602TX0460676,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0201423786021947,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""11 important data fields are missing or unavailable."", ""value"": 11.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 39.3%."", ""value"": 0.3928571428571428}]",11 important data fields are missing or unavailable. Important missingness rate is 39.3%.
33602TX0460678,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0342206384620989,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""12 important data fields are missing or unavailable."", ""value"": 12.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 42.9%."", ""value"": 0.4285714285714285}]",12 important data fields are missing or unavailable. Important missingness rate is 42.9%.
33602TX0461175,33602,TX,Blue Cross Blue Shield of Texas,HMO,Silver,FFE,Individual,0.0331081747088269,HIGH,0,LOW,{},[],[],
33602TX0870074,33602,TX,Blue Cross Blue Shield of Texas,POS,Bronze,FFE,Individual,0.0004040696432674,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}]",9 important data fields are missing or unavailable. Important missingness rate is 32.1%.
33602TX0870077,33602,TX,Blue Cross Blue Shield of Texas,POS,Bronze,FFE,Individual,0.0222454255590119,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""11 important data fields are missing or unavailable."", ""value"": 11.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 39.3%."", ""value"": 0.3928571428571428}]",11 important data fields are missing or unavailable. Important missingness rate is 39.3%.
33602TX0870230,33602,TX,Blue Cross Blue Shield of Texas,POS,Silver,FFE,Individual,0.0088845695997088,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""10 important data fields are missing or unavailable."", ""value"": 10.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 35.7%."", ""value"": 0.3571428571428571}]",10 important data fields are missing or unavailable. Important missingness rate is 35.7%.
33602TX0870235,33602,TX,Blue Cross Blue Shield of Texas,POS,Silver,FFE,Individual,0.0021359327694674,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}]",9 important data fields are missing or unavailable. Important missingness rate is 32.1%.
33602TX0870261,33602,TX,Blue Cross Blue Shield of Texas,POS,Silver,FFE,Individual,0.0215970671790788,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""10 important data fields are missing or unavailable."", ""value"": 10.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 35.7%."", ""value"": 0.3571428571428571}]",10 important data fields are missing or unavailable. Important missingness rate is 35.7%.
34541UT0280005,34541,UT,BridgeSpan Health Company,HMO,Gold,SPE,Individual,0.021569379096931,HIGH,3,HIGH,"{""MISSINGNESS"": 2, ""DATA_QUALITY_FLAG"": 1}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Other_Denial_Rate_Invalid_Flag""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""8 important data fields are missing or unavailable."", ""value"": 8.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 28.6%."", ""value"": 0.2857142857142857}, {""type"": ""DATA_QUALITY_FLAG"", ""feature"": ""Other_Denial_Rate_Invalid_Flag"", ""message"": ""Other Denial Rate contains an invalid raw value."", ""value"": 1}]",8 important data fields are missing or unavailable. Important missingness rate is 28.6%. Other Denial Rate contains an invalid raw value.
34541UT0280007,34541,UT,BridgeSpan Health Company,HMO,Bronze,SPE,Individual,0.0105171902861451,HIGH,3,HIGH,"{""MISSINGNESS"": 2, ""DATA_QUALITY_FLAG"": 1}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Other_Denial_Rate_Invalid_Flag""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""7 important data fields are missing or unavailable."", ""value"": 7.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 25.0%."", ""value"": 0.25}, {""type"": ""DATA_QUALITY_FLAG"", ""feature"": ""Other_Denial_Rate_Invalid_Flag"", ""message"": ""Other Denial Rate contains an invalid raw value."", ""value"": 1}]",7 important data fields are missing or unavailable. Important missingness rate is 25.0%. Other Denial Rate contains an invalid raw value.
38345WI0240010,38345,WI,Dean Health Plan,HMO,Catastrophic,FFE,Individual,0.006050223456209,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""8 important data fields are missing or unavailable."", ""value"": 8.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 28.6%."", ""value"": 0.2857142857142857}]",8 important data fields are missing or unavailable. Important missingness rate is 28.6%.
40220TX0080025,40220,TX,"UnitedHealthcare of Texas, Inc.",HMO,Silver,FFE,Individual,0.0310682849401213,HIGH,1,MEDIUM,"{""MISSINGNESS"": 1}","[""Total_Important_Missing_Count""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""2 important data fields are missing or unavailable."", ""value"": 2.0}]",2 important data fields are missing or unavailable.
40220TX0080031,40220,TX,"UnitedHealthcare of Texas, Inc.",HMO,Bronze,FFE,Individual,0.0307716306408142,HIGH,2,HIGH,"{""MISSINGNESS"": 1, ""EXTREME_HIGH"": 1}","[""Total_Important_Missing_Count"", ""Out_of_Network_Denial_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""2 important data fields are missing or unavailable."", ""value"": 2.0}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Out_of_Network_Denial_Rate"", ""message"": ""Out of Network Denial Rate = 0.6980, above the dataset 99th percentile (0.6089)."", ""value"": 0.6979881080657818, ""threshold"": 0.6089085236718056}]","2 important data fields are missing or unavailable. Out of Network Denial Rate = 0.6980, above the dataset 99th percentile (0.6089)."
40220TX0080034,40220,TX,"UnitedHealthcare of Texas, Inc.",HMO,Gold,FFE,Individual,0.0135852945695615,HIGH,1,MEDIUM,"{""MISSINGNESS"": 1}","[""Total_Important_Missing_Count""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""1 important data fields are missing or unavailable."", ""value"": 1.0}]",1 important data fields are missing or unavailable.
40788TX0460003,40788,TX,Scott and White Health Plan,HMO,Silver,FFE,Individual,0.0577123283101888,HIGH,3,HIGH,"{""MISSINGNESS"": 1, ""EXTREME_HIGH"": 2}","[""Total_Important_Missing_Count"", ""Issuer_Out_of_Network_Resubmission_Rate"", ""External_Appeal_Overturn_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""1 important data fields are missing or unavailable."", ""value"": 1.0}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Issuer_Out_of_Network_Resubmission_Rate"", ""message"": ""Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409)."", ""value"": 0.3470262493074303, ""threshold"": 0.340895203177513}, {""type"": ""EXTREME_HIGH"", ""feature"": ""External_Appeal_Overturn_Rate"", ""message"": ""External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."", ""value"": 0.8, ""threshold"": 0.6666666666666666}]","1 important data fields are missing or unavailable. Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409). External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."
40788TX0460005,40788,TX,Scott and White Health Plan,HMO,Silver,FFE,Individual,0.006718576944326,HIGH,3,HIGH,"{""MISSINGNESS"": 1, ""EXTREME_HIGH"": 2}","[""Total_Important_Missing_Count"", ""Issuer_Out_of_Network_Resubmission_Rate"", ""External_Appeal_Overturn_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""1 important data fields are missing or unavailable."", ""value"": 1.0}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Issuer_Out_of_Network_Resubmission_Rate"", ""message"": ""Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409)."", ""value"": 0.3470262493074303, ""threshold"": 0.340895203177513}, {""type"": ""EXTREME_HIGH"", ""feature"": ""External_Appeal_Overturn_Rate"", ""message"": ""External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."", ""value"": 0.8, ""threshold"": 0.6666666666666666}]","1 important data fields are missing or unavailable. Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409). External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."
40788TX0460008,40788,TX,Scott and White Health Plan,HMO,Silver,FFE,Individual,0.0438769467852387,HIGH,3,HIGH,"{""MISSINGNESS"": 1, ""EXTREME_HIGH"": 2}","[""Total_Important_Missing_Count"", ""Issuer_Out_of_Network_Resubmission_Rate"", ""External_Appeal_Overturn_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""1 important data fields are missing or unavailable."", ""value"": 1.0}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Issuer_Out_of_Network_Resubmission_Rate"", ""message"": ""Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409)."", ""value"": 0.3470262493074303, ""threshold"": 0.340895203177513}, {""type"": ""EXTREME_HIGH"", ""feature"": ""External_Appeal_Overturn_Rate"", ""message"": ""External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."", ""value"": 0.8, ""threshold"": 0.6666666666666666}]","1 important data fields are missing or unavailable. Issuer Out of Network Resubmission Rate = 0.3470, above the dataset 99th percentile (0.3409). External Appeal Overturn Rate = 0.8000, above the dataset 99th percentile (0.6667)."
46944AL0660001,46944,AL,Blue Cross and Blue Shield of Alabama,PPO,Silver,FFE,Individual,0.0137926566686161,HIGH,0,LOW,{},[],[],
47840MO0010010,47840,MO,Medica Central Insurance Company,EPO,Catastrophic,FFE,Individual,0.0119136502925413,HIGH,3,HIGH,"{""MISSINGNESS"": 2, ""EXTREME_HIGH"": 1}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Member_Not_Covered_Denial_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""8 important data fields are missing or unavailable."", ""value"": 8.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 28.6%."", ""value"": 0.2857142857142857}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Member_Not_Covered_Denial_Rate"", ""message"": ""Member Not Covered Denial Rate = 0.7548, above the dataset 99th percentile (0.4180)."", ""value"": 0.7548387096774194, ""threshold"": 0.4180429386897637}]","8 important data fields are missing or unavailable. Important missingness rate is 28.6%. Member Not Covered Denial Rate = 0.7548, above the dataset 99th percentile (0.4180)."
53901AZ1420147,53901,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",HMO,Gold,FFE,Individual,0.0018008008624046,HIGH,3,HIGH,"{""MISSINGNESS"": 1, ""EXTREME_HIGH"": 2}","[""Total_Important_Missing_Count"", ""Plan_In_Network_Resubmission_Rate"", ""Plan_Overall_Resubmission_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""6 important data fields are missing or unavailable."", ""value"": 6.0}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Plan_In_Network_Resubmission_Rate"", ""message"": ""Plan In Network Resubmission Rate = 0.3200, above the dataset 99th percentile (0.2535)."", ""value"": 0.32, ""threshold"": 0.2535258487237646}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Plan_Overall_Resubmission_Rate"", ""message"": ""Plan Overall Resubmission Rate = 0.3200, above the dataset 99th percentile (0.2574)."", ""value"": 0.32, ""threshold"": 0.25740528833704834}]","6 important data fields are missing or unavailable. Plan In Network Resubmission Rate = 0.3200, above the dataset 99th percentile (0.2535). Plan Overall Resubmission Rate = 0.3200, above the dataset 99th percentile (0.2574)."
53932AL0100012,53932,AL,Celtic Insurance Company,EPO,Silver,FFE,Individual,0.0014438363707943,HIGH,1,MEDIUM,"{""MISSINGNESS"": 1}","[""Total_Important_Missing_Count""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""2 important data fields are missing or unavailable."", ""value"": 2.0}]",2 important data fields are missing or unavailable.
58594MI0030017,58594,MI,"Meridian Health Plan of Michigan, Inc.",HMO,Silver,SPE,Individual,0.0070517045656327,HIGH,1,MEDIUM,"{""MISSINGNESS"": 1}","[""Total_Important_Missing_Count""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""2 important data fields are missing or unavailable."", ""value"": 2.0}]",2 important data fields are missing or unavailable.
60536SD0020067,60536,SD,"Avera Health Plans, Inc.",PPO,Bronze,SPE,Individual,0.0053831342539563,HIGH,5,HIGH,"{""MISSINGNESS"": 2, ""EXTREME_LOW"": 2, ""EXTREME_HIGH"": 1}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Issuer_In_Network_Denial_Rate"", ""Issuer_Overall_Denial_Rate"", ""Administrative_Denial_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_In_Network_Denial_Rate"", ""message"": ""Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408)."", ""value"": 0.0269535720592923, ""threshold"": 0.040780744159407724}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_Overall_Denial_Rate"", ""message"": ""Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522)."", ""value"": 0.0349570213577075, ""threshold"": 0.0521869940145905}, {""type"": ""EXTREME_HIGH"", ""feature"": ""Administrative_Denial_Rate"", ""message"": ""Administrative Denial Rate = 0.9403, above the dataset 99th percentile (0.8513)."", ""value"": 0.9402985074626866, ""threshold"": 0.851337531814919}]","9 important data fields are missing or unavailable. Important missingness rate is 32.1%. Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408). Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522). Administrative Denial Rate = 0.9403, above the dataset 99th percentile (0.8513)."
60536SD0060014,60536,SD,"Avera Health Plans, Inc.",HMO,Bronze,SPE,Individual,0.0010110681209076,HIGH,5,MEDIUM,"{""MISSINGNESS"": 2, ""EXTREME_LOW"": 3}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Issuer_In_Network_Denial_Rate"", ""Issuer_Overall_Denial_Rate"", ""Plan_In_Network_Denial_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_In_Network_Denial_Rate"", ""message"": ""Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408)."", ""value"": 0.0269535720592923, ""threshold"": 0.040780744159407724}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_Overall_Denial_Rate"", ""message"": ""Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522)."", ""value"": 0.0349570213577075, ""threshold"": 0.0521869940145905}, {""type"": ""EXTREME_LOW"", ""feature"": ""Plan_In_Network_Denial_Rate"", ""message"": ""Plan In Network Denial Rate = 0.0258, below the dataset 1st percentile (0.0268)."", ""value"": 0.0258292731762664, ""threshold"": 0.02682627845178696}]","9 important data fields are missing or unavailable. Important missingness rate is 32.1%. Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408). Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522). Plan In Network Denial Rate = 0.0258, below the dataset 1st percentile (0.0268)."
60536SD0060018,60536,SD,"Avera Health Plans, Inc.",HMO,Silver,SPE,Individual,0.0021606224897406,HIGH,5,MEDIUM,"{""MISSINGNESS"": 2, ""EXTREME_LOW"": 3}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate"", ""Issuer_In_Network_Denial_Rate"", ""Issuer_Overall_Denial_Rate"", ""Plan_In_Network_Denial_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""7 important data fields are missing or unavailable."", ""value"": 7.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 25.0%."", ""value"": 0.25}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_In_Network_Denial_Rate"", ""message"": ""Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408)."", ""value"": 0.0269535720592923, ""threshold"": 0.040780744159407724}, {""type"": ""EXTREME_LOW"", ""feature"": ""Issuer_Overall_Denial_Rate"", ""message"": ""Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522)."", ""value"": 0.0349570213577075, ""threshold"": 0.0521869940145905}, {""type"": ""EXTREME_LOW"", ""feature"": ""Plan_In_Network_Denial_Rate"", ""message"": ""Plan In Network Denial Rate = 0.0254, below the dataset 1st percentile (0.0268)."", ""value"": 0.0254213651033988, ""threshold"": 0.02682627845178696}]","7 important data fields are missing or unavailable. Important missingness rate is 25.0%. Issuer In Network Denial Rate = 0.0270, below the dataset 1st percentile (0.0408). Issuer Overall Denial Rate = 0.0350, below the dataset 1st percentile (0.0522). Plan In Network Denial Rate = 0.0254, below the dataset 1st percentile (0.0268)."
