Plan_ID,Issuer_ID,State,Issuer_Name,Plan_Type,Metal_Level,Exchange_Type,Individual/SHOP,Bayesian_Anomaly,Bayesian_Anomaly_Score,Bayesian_Anomaly_Probability,Bayesian_Threshold,Rule_Anomaly,Rule_Count,Rule_Name,Rule_Reason,Rule_Severity,Evidence_Count,Evidence_Severity,Evidence_Types,Evidence_Features,Evidence_Details,Evidence_Summary,Anomaly_Signal_Count,Anomaly_Signals,Final_Anomaly,Final_Severity
11269WY0170018,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Silver,FFE,Individual,0,56.89481220983877,0.0089778399256473,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0170020,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Bronze,FFE,Individual,0,169.90452222557985,0.0318395623862368,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0170021,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Silver,FFE,Individual,0,46.51553223187191,0.006878124616547,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0060002,11512,NC,Blue Cross and Blue Shield of NC,PPO,Silver,FFE,Individual,1,535.1332265065216,0.105724870743798,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,1,Bayesian,1,MEDIUM
11512NC0060004,11512,NC,Blue Cross and Blue Shield of NC,PPO,Bronze,FFE,Individual,0,54.79173343386674,0.0085523897295329,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060018,11512,NC,Blue Cross and Blue Shield of NC,PPO,Gold,FFE,Individual,0,40.12007246349049,0.005584331134445,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060028,11512,NC,Blue Cross and Blue Shield of NC,PPO,Silver,FFE,Individual,0,128.74806660818803,0.02351366308382,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060031,11512,NC,Blue Cross and Blue Shield of NC,PPO,Bronze,FFE,Individual,0,56.48030365693101,0.0088939853657798,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060050,11512,NC,Blue Cross and Blue Shield of NC,PPO,Gold,FFE,Individual,0,35.773186028787634,0.0047049614659092,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060051,11512,NC,Blue Cross and Blue Shield of NC,PPO,Silver,FFE,Individual,0,67.44378674884547,0.0111118842314065,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060052,11512,NC,Blue Cross and Blue Shield of NC,PPO,Bronze,FFE,Individual,0,41.5769574441314,0.005879057137014,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0060059,11512,NC,Blue Cross and Blue Shield of NC,PPO,Bronze,FFE,Individual,0,43.69176592614413,0.0063068802379346,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0100009,11512,NC,Blue Cross and Blue Shield of NC,POS,Gold,FFE,Individual,0,41.36573645687877,0.0058363273964656,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100011,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,85.5750613755632,0.0147798183258752,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100012,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,47.6741811210136,0.0071125178322197,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100034,11512,NC,Blue Cross and Blue Shield of NC,POS,Gold,FFE,Individual,0,53.440947521898224,0.0082791274353566,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100044,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,58.26161385970797,0.0092543421834943,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100054,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,40.12178540670117,0.0055846776607061,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100064,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,154.63413294854925,0.0287503818063733,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100065,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,42.51305101845967,0.0060684276919022,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100070,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,53.610766877024254,0.0083134816777026,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100071,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,49.09066125862289,0.0073990699857687,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100072,11512,NC,Blue Cross and Blue Shield of NC,POS,Gold,FFE,Individual,0,38.01558089288552,0.0051585951317501,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100073,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,31.50044005225175,0.0038405903189824,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100074,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,51.22220973492095,0.0078302795665174,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100075,11512,NC,Blue Cross and Blue Shield of NC,POS,Gold,FFE,Individual,0,40.87009771207635,0.005736060300631,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100076,11512,NC,Blue Cross and Blue Shield of NC,POS,Silver,FFE,Individual,0,41.75611203918019,0.0059152998866766,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100077,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,34.313848360095434,0.0044097392876266,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0100079,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,23.173066165939503,0.0021559730362028,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0100080,11512,NC,Blue Cross and Blue Shield of NC,POS,Bronze,FFE,Individual,0,23.173066165939503,0.0021559730362028,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0390001,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,45.68189179602552,0.0067094802029512,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390002,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,31.540668673379383,0.0038487285185324,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390003,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,61.76818269803584,0.009963716657242,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390004,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,52.08945592929607,0.0080057223828741,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390005,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,39.90140590355784,0.0055400951638909,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390006,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,45.31172496554072,0.006634595917862,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390013,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,195.74545189335208,0.0370671500165911,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390014,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,52.88598133799481,0.0081668584730732,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390015,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,43.17438950442838,0.0062022156373505,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390022,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,56.53325977783948,0.008904698322557,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390023,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,34.29255325560507,0.0044054313147227,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390024,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,118.17000625477642,0.0213737347543218,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390025,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,71.20431004867999,0.0118726333738955,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390026,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,33.36887041626493,0.0042185714359418,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390027,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,46.95730067015056,0.0069674938170022,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390028,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,50.54301563171542,0.0076928794521185,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390029,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,38.08735369259028,0.0051731146790247,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390030,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,35.73740917149435,0.004697723852594,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390031,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,50.77635088709064,0.0077400828813452,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390032,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,27.31993659847228,0.0029948797186054,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390033,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,64.30037281893206,0.0104759755397161,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390034,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,45.99842928114405,0.0067735153388005,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390035,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,40.16274556582071,0.0055929638494734,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390036,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,68.42144319606284,0.011309662903301,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0390046,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,23.173066165939503,0.0021559730362028,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0390047,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,23.173066165939503,0.0021559730362028,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0390048,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,23.173066165939503,0.0021559730362028,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11512NC0400001,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,44.30819907134909,0.0064315838893219,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400002,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,38.07019513416308,0.0051696435241962,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400003,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,40.90793553735433,0.0057437148451821,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400004,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,44.80441980276362,0.0065319687203175,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400009,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,84.18439133684616,0.0144984875229293,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400010,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,46.37218423535273,0.0068491254968143,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400017,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,41.234911208813394,0.0058098616130237,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400018,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,39.12345023736416,0.0053827157092875,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400021,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,43.79061231792349,0.006326876738897,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400022,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,31.54890593910876,0.0038503949070482,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400023,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,58.33642948377512,0.0092694772903174,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0400024,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,58.112263997822666,0.0092241288939329,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410001,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,91.19747151241508,0.0159172248380272,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410002,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,55.25354446194422,0.0086458135207423,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410005,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,58.4087513916587,0.0092841079214873,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410008,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,287.0490662053747,0.0555377565667665,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410009,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,79.97457872390497,0.0136468477164495,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410010,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,48.01335700485162,0.0071811326877091,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410011,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,85.01229520877895,0.0146659714368473,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410012,11512,NC,Blue Cross and Blue Shield of NC,EPO,Bronze,FFE,Individual,0,52.7322773142223,0.0081357643420284,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410016,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,33.0434018256346,0.0041527295486598,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410017,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,45.3016188195649,0.0066325514572187,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410018,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,32.14940079269386,0.0039718742620502,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410019,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,43.09405985919556,0.0061859650509681,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410020,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,43.61700673305435,0.0062917565470274,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410021,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,88.70890034356808,0.0154137900147922,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410022,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,46.46657950436324,0.0068682215412287,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410023,11512,NC,Blue Cross and Blue Shield of NC,EPO,Gold,FFE,Individual,0,43.23940352151459,0.0062153678913866,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410024,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,47.74804315672984,0.0071274600293166,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410027,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,46.75493390786952,0.0069265552750497,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410028,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,58.56707302402708,0.0093161361889539,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410029,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,47.56040226339497,0.0070895005121647,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410030,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,43.03190499673659,0.0061733912003236,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410039,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,36.94456717273268,0.0049419304007441,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410040,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,41.24237865970506,0.0058113722689642,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11512NC0410041,11512,NC,Blue Cross and Blue Shield of NC,EPO,Silver,FFE,Individual,0,40.21433458316773,0.0056034002429164,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
